essay_id,tid,grade,type,instructions,essay,excerpt,startidx,endidx,comment,comment_id,sentences
189,5,ms,Persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.","Dear people that read the news paper and that have @CAPS1 that like to play the computer all day more. Than a hour. I think you should take your time and read my article in this wonderful newspaper. I am writing this article about @CAPS1 using the computer more than an hour. My first reason about this computers issue is it makes than not pay attention in the school. To support that reason so you dont think i am making this up is that they play the computer alot and it makes the @CAPS1 just think about the computer and not think about school. They play it so much and it can mess up the @CAPS1 and they can not focus in school. My second main reason is it makes them allways want to talk about the computer. So if they play it mare than a hour like i said it can cause them to be addicted like drug's it is just like that if you dont want your @CAPS1 to be addicted to drugs i hope you woudnt want your own @CAPS1 to be addicted to the computer. To continue about your @CAPS1 can allways @CAPS2 about the computer it can make your @CAPS1 sound like they have no life because they play it all day everday and I would hope you woudnt want your @CAPS1 to be like this. Most importantly my final reason why you shoudnt let your child play the computer for more than a hour a day. Because they can get over weight. Your @CAPS1 well only get up and go to the bathroom, and eat, they will only do stuff that is in the house. Your @CAPS1 will not go out side and play and they wont get no exerse at all. I hope you will understand where I am coming from I have a brother that is offering in the hospital right computer too much and it messed and the doctor said he make it not so I am praying that he well make it out alive so I hope you woudnt let you @CAPS1 do this it will mess up their life forever. Thank you so much for takeng you own @CAPS4 Time to read this article I hope you would remember this article for your whole ontire life.",ore. Tha,98,106,Combine these two sentences,1713802739878,"[""Combine these two sentences""]"
189,5,ms,Persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.","Dear people that read the news paper and that have @CAPS1 that like to play the computer all day more. Than a hour. I think you should take your time and read my article in this wonderful newspaper. I am writing this article about @CAPS1 using the computer more than an hour. My first reason about this computers issue is it makes than not pay attention in the school. To support that reason so you dont think i am making this up is that they play the computer alot and it makes the @CAPS1 just think about the computer and not think about school. They play it so much and it can mess up the @CAPS1 and they can not focus in school. My second main reason is it makes them allways want to talk about the computer. So if they play it mare than a hour like i said it can cause them to be addicted like drug's it is just like that if you dont want your @CAPS1 to be addicted to drugs i hope you woudnt want your own @CAPS1 to be addicted to the computer. To continue about your @CAPS1 can allways @CAPS2 about the computer it can make your @CAPS1 sound like they have no life because they play it all day everday and I would hope you woudnt want your @CAPS1 to be like this. Most importantly my final reason why you shoudnt let your child play the computer for more than a hour a day. Because they can get over weight. Your @CAPS1 well only get up and go to the bathroom, and eat, they will only do stuff that is in the house. Your @CAPS1 will not go out side and play and they wont get no exerse at all. I hope you will understand where I am coming from I have a brother that is offering in the hospital right computer too much and it messed and the doctor said he make it not so I am praying that he well make it out alive so I hope you woudnt let you @CAPS1 do this it will mess up their life forever. Thank you so much for takeng you own @CAPS4 Time to read this article I hope you would remember this article for your whole ontire life.", computers ,302,313,computer,1713802762259,"[""computer""]"
189,5,ms,Persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.","Dear people that read the news paper and that have @CAPS1 that like to play the computer all day more. Than a hour. I think you should take your time and read my article in this wonderful newspaper. I am writing this article about @CAPS1 using the computer more than an hour. My first reason about this computers issue is it makes than not pay attention in the school. To support that reason so you dont think i am making this up is that they play the computer alot and it makes the @CAPS1 just think about the computer and not think about school. They play it so much and it can mess up the @CAPS1 and they can not focus in school. My second main reason is it makes them allways want to talk about the computer. So if they play it mare than a hour like i said it can cause them to be addicted like drug's it is just like that if you dont want your @CAPS1 to be addicted to drugs i hope you woudnt want your own @CAPS1 to be addicted to the computer. To continue about your @CAPS1 can allways @CAPS2 about the computer it can make your @CAPS1 sound like they have no life because they play it all day everday and I would hope you woudnt want your @CAPS1 to be like this. Most importantly my final reason why you shoudnt let your child play the computer for more than a hour a day. Because they can get over weight. Your @CAPS1 well only get up and go to the bathroom, and eat, they will only do stuff that is in the house. Your @CAPS1 will not go out side and play and they wont get no exerse at all. I hope you will understand where I am coming from I have a brother that is offering in the hospital right computer too much and it messed and the doctor said he make it not so I am praying that he well make it out alive so I hope you woudnt let you @CAPS1 do this it will mess up their life forever. Thank you so much for takeng you own @CAPS4 Time to read this article I hope you would remember this article for your whole ontire life.",it makes the @CAPS1 just think about the computer and not think about school.,470,547,Why does it do this?,1713802780125,"[""Why does it do this?""]"
189,5,ms,Persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.","Dear people that read the news paper and that have @CAPS1 that like to play the computer all day more. Than a hour. I think you should take your time and read my article in this wonderful newspaper. I am writing this article about @CAPS1 using the computer more than an hour. My first reason about this computers issue is it makes than not pay attention in the school. To support that reason so you dont think i am making this up is that they play the computer alot and it makes the @CAPS1 just think about the computer and not think about school. They play it so much and it can mess up the @CAPS1 and they can not focus in school. My second main reason is it makes them allways want to talk about the computer. So if they play it mare than a hour like i said it can cause them to be addicted like drug's it is just like that if you dont want your @CAPS1 to be addicted to drugs i hope you woudnt want your own @CAPS1 to be addicted to the computer. To continue about your @CAPS1 can allways @CAPS2 about the computer it can make your @CAPS1 sound like they have no life because they play it all day everday and I would hope you woudnt want your @CAPS1 to be like this. Most importantly my final reason why you shoudnt let your child play the computer for more than a hour a day. Because they can get over weight. Your @CAPS1 well only get up and go to the bathroom, and eat, they will only do stuff that is in the house. Your @CAPS1 will not go out side and play and they wont get no exerse at all. I hope you will understand where I am coming from I have a brother that is offering in the hospital right computer too much and it messed and the doctor said he make it not so I am praying that he well make it out alive so I hope you woudnt let you @CAPS1 do this it will mess up their life forever. Thank you so much for takeng you own @CAPS4 Time to read this article I hope you would remember this article for your whole ontire life.",@CAPS1 to be addicted to drugs i hope you woudnt want your own @CAPS1 to be addicted to the computer.,849,950,Very persuasive ,1713802800123,"[""Very persuasive""]"
189,5,ms,Persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.","Dear people that read the news paper and that have @CAPS1 that like to play the computer all day more. Than a hour. I think you should take your time and read my article in this wonderful newspaper. I am writing this article about @CAPS1 using the computer more than an hour. My first reason about this computers issue is it makes than not pay attention in the school. To support that reason so you dont think i am making this up is that they play the computer alot and it makes the @CAPS1 just think about the computer and not think about school. They play it so much and it can mess up the @CAPS1 and they can not focus in school. My second main reason is it makes them allways want to talk about the computer. So if they play it mare than a hour like i said it can cause them to be addicted like drug's it is just like that if you dont want your @CAPS1 to be addicted to drugs i hope you woudnt want your own @CAPS1 to be addicted to the computer. To continue about your @CAPS1 can allways @CAPS2 about the computer it can make your @CAPS1 sound like they have no life because they play it all day everday and I would hope you woudnt want your @CAPS1 to be like this. Most importantly my final reason why you shoudnt let your child play the computer for more than a hour a day. Because they can get over weight. Your @CAPS1 well only get up and go to the bathroom, and eat, they will only do stuff that is in the house. Your @CAPS1 will not go out side and play and they wont get no exerse at all. I hope you will understand where I am coming from I have a brother that is offering in the hospital right computer too much and it messed and the doctor said he make it not so I am praying that he well make it out alive so I hope you woudnt let you @CAPS1 do this it will mess up their life forever. Thank you so much for takeng you own @CAPS4 Time to read this article I hope you would remember this article for your whole ontire life.", offering in the hospital right computer too much and it messed and the doctor said he make it not so I am praying that he well make it out alive so I hope you woudnt let you,1575,1749,"I don't know exactly what you mean here, but I hope your brother is okay!",1713802976158,"[""I don't know exactly what you mean here, but I hope your brother is okay!""]"
18876,14,ms,Narrative,Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.,"Today I@CAPS3 going to write about a friend of mine who is very patient. My friend name is @CAPS1 @CAPS2. She is a very patient and pleasant girl. @CAPS1 is so patient that when I told her to hold on for a second, there I came back an hour later and she was still there she is absolutely the most patient and the most awesome girl I know! On test(like @CAPS3.E.A.P) she always takes her time. And she uses her time wisely (ha ha and her last name is @CAPS2). At the @ORGANIZATION1 she doesnt await in a long line for a corn dog.Now I@CAPS3 starting to think that @CAPS1 enjoys waiting. I love having @CAPS1 around because she doesnt mind to wait for me when I have to do something.", patient and pleasant girl,120,146,"What a wonderful friend! Can you describe the different qualities that make a person ""patient"" and ""pleasant?""",1712763792666,"[""What a wonderful friend!"", ""Can you describe the different qualities that make a person \""patient\"" and \""pleasant?\""""]"
18876,14,ms,Narrative,Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.,"Today I@CAPS3 going to write about a friend of mine who is very patient. My friend name is @CAPS1 @CAPS2. She is a very patient and pleasant girl. @CAPS1 is so patient that when I told her to hold on for a second, there I came back an hour later and she was still there she is absolutely the most patient and the most awesome girl I know! On test(like @CAPS3.E.A.P) she always takes her time. And she uses her time wisely (ha ha and her last name is @CAPS2). At the @ORGANIZATION1 she doesnt await in a long line for a corn dog.Now I@CAPS3 starting to think that @CAPS1 enjoys waiting. I love having @CAPS1 around because she doesnt mind to wait for me when I have to do something.",she always takes her time,367,392,"Why is taking your time and being ""patient"" on a test important? What results might this bring to the student's scores?",1712764440971,"[""Why is taking your time and being \""patient\"" on a test important?"", ""What results might this bring to the student's scores?""]"
18876,14,ms,Narrative,Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.,"Today I@CAPS3 going to write about a friend of mine who is very patient. My friend name is @CAPS1 @CAPS2. She is a very patient and pleasant girl. @CAPS1 is so patient that when I told her to hold on for a second, there I came back an hour later and she was still there she is absolutely the most patient and the most awesome girl I know! On test(like @CAPS3.E.A.P) she always takes her time. And she uses her time wisely (ha ha and her last name is @CAPS2). At the @ORGANIZATION1 she doesnt await in a long line for a corn dog.Now I@CAPS3 starting to think that @CAPS1 enjoys waiting. I love having @CAPS1 around because she doesnt mind to wait for me when I have to do something.",t await in a long line for a corn dog,492,529,I appreciate all of the times she is patient with you. Why do you think she does not complain during these times?,1712764476119,"[""I appreciate all of the times she is patient with you."", ""Why do you think she does not complain during these times?""]"
18876,14,ms,Narrative,Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.,"Today I@CAPS3 going to write about a friend of mine who is very patient. My friend name is @CAPS1 @CAPS2. She is a very patient and pleasant girl. @CAPS1 is so patient that when I told her to hold on for a second, there I came back an hour later and she was still there she is absolutely the most patient and the most awesome girl I know! On test(like @CAPS3.E.A.P) she always takes her time. And she uses her time wisely (ha ha and her last name is @CAPS2). At the @ORGANIZATION1 she doesnt await in a long line for a corn dog.Now I@CAPS3 starting to think that @CAPS1 enjoys waiting. I love having @CAPS1 around because she doesnt mind to wait for me when I have to do something.",t mind to wait for me when I have to do something.,635,685,"How does this patience make you feel? When a person is patient with other people, how does it affect others?",1712764509681,"[""How does this patience make you feel?"", ""When a person is patient with other people, how does it affect others?""]"
19260,9,ms,Narrative,Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.,one time I was in  patient. We was an are way to see the point. The had family was with us. We all was in @NUM1 car and vans. I was like and the van @NUM2 and the car and @NUM3 in the car.  It was like a @NUM3 hour drive. I was in the car with my mom and @NUM1 sister. We was and takere for like a hour. First I was on the fane then I was just having a family talk bye like an hour I was so in patient. And all I could here was my mom like be patient we gone get there. Im like no no I want to be there @CAPS1. She like we got all day. Then we stop to get something to eat. Then we was there.,.,26,27,"Careful, you may not need a period here!",1712182365278,"[""Careful, you may not need a period here!""]"
